field_id,year,hectares,modis,pixels,burned_pixels,days_burned,num_burned
005008600100002,,42.932,h13v10,2,,,
005008600100003,,85.864,h13v10,4,,,
005008600100004,,128.796,h13v10,6,,,
005008600100005,,128.796,h13v10,6,,,
005008600100006,,85.864,h13v10,4,,,
005008600202014,,85.864,h13v10,4,,,
005008700100001,,85.864,h13v10,4,,,
006011800100001,,171.728,h13v10,8,,,
004009801000011,2014,128.796,h13v10,6,1,225,1
004010300100006,2014,171.728,h13v10,8,2,222+224,"1,1"
